object_key,course_id,course_title,type,path,name,depth,status,source_status,enabled,aliases,keywords,priority,inherit,notes
course-1:77e8b4264bcb83de,course-1,Курс 1,folder,1 course/1 Семестр,1 Семестр,1,priority,active,TRUE,,,0,TRUE,
course-1:106c97916f6cbeec,course-1,Курс 1,folder,1 course/2 Семестр,2 Семестр,1,priority,active,TRUE,,,0,TRUE,
course-1:3a51a718f40c35c9,course-1,Курс 1,folder,1 course/1 Семестр/Аналитическая геометрия,Аналитическая геометрия,2,priority,active,TRUE,,,0,TRUE,
course-1:64073de5e82f10ad,course-1,Курс 1,folder,1 course/1 Семестр/Английский,Английский,2,priority,active,TRUE,,,0,TRUE,
course-1:21e907daa86424b2,course-1,Курс 1,folder,1 course/1 Семестр/Информатика,Информатика,2,priority,active,TRUE,,,0,TRUE,
course-1:09c5656ffd7f02be,course-1,Курс 1,folder,1 course/1 Семестр/Математический анализ,Математический анализ,2,priority,active,TRUE,,,0,TRUE,
course-1:666495c21f8fd25f,course-1,Курс 1,folder,1 course/1 Семестр/Начертательная геометрия,Начертательная геометрия,2,priority,active,TRUE,,,0,TRUE,
course-1:97ec6c4cf3c95bed,course-1,Курс 1,folder,1 course/1 Семестр/Основы программирования 2025,Основы программирования 2025,2,priority,active,TRUE,,,0,TRUE,
course-1:50434038c3c7ec8b,course-1,Курс 1,folder,1 course/1 Семестр/Социология(2022),Социология(2022),2,priority,active,TRUE,,,0,TRUE,
course-1:d30eed71958c44fc,course-1,Курс 1,folder,1 course/1 Семестр/УТП ИУ5,УТП ИУ5,2,priority,active,TRUE,,,0,TRUE,
course-1:4e707b79bf1cd7ba,course-1,Курс 1,folder,1 course/2 Семестр/Инженерная графика,Инженерная графика,2,priority,active,TRUE,,,0,TRUE,
course-1:9e0514d87dd5b452,course-1,Курс 1,folder,1 course/2 Семестр/Интегралы и Дифференциальные уравнения,Интегралы и Дифференциальные уравнения,2,priority,active,TRUE,,,0,TRUE,
course-1:5aac5cf57bf39d67,course-1,Курс 1,folder,1 course/2 Семестр/ЛАиФНП,ЛАиФНП,2,priority,active,TRUE,,,0,TRUE,
course-1:0b4227d4a638c886,course-1,Курс 1,folder,1 course/2 Семестр/Программирование на основе классов и шаблонов,Программирование на основе классов и шаблонов,2,priority,active,TRUE,,,0,TRUE,
course-1:ed6a409b975e3830,course-1,Курс 1,folder,1 course/2 Семестр/Физика,Физика,2,priority,active,TRUE,,,0,TRUE,
course-1:1e66f81c098f4ca9,course-1,Курс 1,folder,1 course/1 Семестр/Аналитическая геометрия/ДЗ,ДЗ,3,priority,active,TRUE,,,0,TRUE,
course-1:0dfd92c3b6bb9b78,course-1,Курс 1,folder,1 course/1 Семестр/Аналитическая геометрия/Лекции,Лекции,3,priority,active,TRUE,,,0,TRUE,
course-1:f6cf2107d968f0f7,course-1,Курс 1,folder,1 course/1 Семестр/Аналитическая геометрия/РК,РК,3,priority,active,TRUE,,,0,TRUE,
course-1:14c51b6aabbc1288,course-1,Курс 1,folder,1 course/1 Семестр/Английский/РК2,РК2,3,priority,active,TRUE,,,0,TRUE,
course-1:470db35b359911fd,course-1,Курс 1,folder,1 course/1 Семестр/Английский/РК3,РК3,3,priority,active,TRUE,,,0,TRUE,
course-1:1f6e8fd997ed7389,course-1,Курс 1,folder,1 course/1 Семестр/Информатика/Лекции,Лекции,3,priority,active,TRUE,,,0,TRUE,
course-1:86ed6f382cac2276,course-1,Курс 1,folder,1 course/1 Семестр/Математический анализ/ДЗ,ДЗ,3,priority,active,TRUE,,,0,TRUE,
course-1:2a048f4d392dbcc5,course-1,Курс 1,folder,1 course/1 Семестр/Математический анализ/КР,КР,3,priority,active,TRUE,,,0,TRUE,
course-1:349252e9453dda3b,course-1,Курс 1,folder,1 course/1 Семестр/Математический анализ/Лекции,Лекции,3,priority,active,TRUE,,,0,TRUE,
course-1:0a1ad1604b431fc7,course-1,Курс 1,folder,1 course/1 Семестр/Математический анализ/РК,РК,3,priority,active,TRUE,,,0,TRUE,
course-1:86c45953cafce0b5,course-1,Курс 1,folder,1 course/1 Семестр/Математический анализ/Учебники,Учебники,3,priority,active,TRUE,,,0,TRUE,
course-1:c3bc63bed82a60d9,course-1,Курс 1,folder,1 course/1 Семестр/Математический анализ/Экзамен,Экзамен,3,priority,active,TRUE,,,0,TRUE,
course-1:1cd5c6a93405791f,course-1,Курс 1,folder,1 course/1 Семестр/Начертательная геометрия/ДЗ,ДЗ,3,priority,active,TRUE,,,0,TRUE,
course-1:eae9e6f2db92e9b3,course-1,Курс 1,folder,1 course/1 Семестр/Начертательная геометрия/Лекции,Лекции,3,priority,active,TRUE,,,0,TRUE,
course-1:8833b93df540f0ac,course-1,Курс 1,folder,1 course/1 Семестр/Начертательная геометрия/Методички,Методички,3,priority,active,TRUE,,,0,TRUE,
course-1:43422f9d2da7d4c1,course-1,Курс 1,folder,1 course/1 Семестр/Начертательная геометрия/Рабочая тетрадь,Рабочая тетрадь,3,priority,active,TRUE,,,0,TRUE,
course-1:1b4323b9b281a939,course-1,Курс 1,folder,1 course/1 Семестр/Начертательная геометрия/РК,РК,3,priority,active,TRUE,,,0,TRUE,
course-1:a58c899969d56f3e,course-1,Курс 1,folder,1 course/1 Семестр/Начертательная геометрия/Экзамен,Экзамен,3,priority,active,TRUE,,,0,TRUE,
course-1:fe82eb717e5f3542,course-1,Курс 1,folder,1 course/1 Семестр/Основы программирования 2025/Лекции,Лекции,3,priority,active,TRUE,,,0,TRUE,
course-1:66fefd6dc2cf847a,course-1,Курс 1,folder,1 course/1 Семестр/Основы программирования 2025/Отчеты ЛР,Отчеты ЛР,3,priority,active,TRUE,,,0,TRUE,
course-1:3a8909a991fbf1a5,course-1,Курс 1,folder,1 course/1 Семестр/Основы программирования 2025/Отчеты Семинары,Отчеты Семинары,3,priority,active,TRUE,,,0,TRUE,
